Name of State/UT,Name of District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting
Tripura,Khowai,Malaria,17,00,24-07-24,24-07-24
Tripura,North Tripura,Malaria,15,00,23-07-24,23-07-24
Tripura,Sepahijala,Malaria,18,00,24-07-24,24-07-24
Tripura,South Tripura,Malaria,20,00,23-07-24,23-07-24
Tripura,Unakoti,Malaria,16,00,23-07-24,23-07-24
Tripura,West Tripura,Malaria,22,00,24-07-24,24-07-24
Uttar Pradesh,Kannauj,Acute Diarrheal Disease,24,00,24-07-24,24-07-24
Uttar Pradesh,Lucknow,Cholera,10,00,22-07-24,22-07-24
Uttarakhand,Nainital,Chickenpox,06,00,24-07-24,24-07-24
Uttarakhand,Rudraprayag,Hepatitis A,16,00,22-07-24,22-07-24
West Bengal,Murshidabad,Food Poisoning,27,00,22-07-24,22-07-24
Assam,Dima Hasao,Malaria,25,00,16-07-24,
Assam,Kamrup,Japanese Encephalitis,03,01,18-07-24,
Assam,Karimganj,Japanese Encephalitis,02,00,19-07-24,
Arunachal Pradesh,Papum Pare,Dengue,08,00,03-08-23,03-08-23
Assam,Bongaigaon,Animal Bite - Dog Bite,01,01,02-08-23,04-08-23
Assam,Dhemaji,Japanese Encephalitis,03,00,04-08-23,04-08-23
Assam,Jorhat,Japanese Encephalitis,10,00,03-08-23,04-08-23
Assam,Lakhimpur,Japanese Encephalitis,04,00,03-08-23,04-08-23
Assam,Marigaon,Japanese Encephalitis,03,00,04-08-23,04-08-23
Assam,Sonitpur,Mumps,25,00,01-08-23,02-08-23
Bihar,Jehanabad,Acute Diarrheal Disease,10,00,04-08-23,04-08-23
Bihar,Pashchim Champaran,Measles,14,00,03-08-23,03-08-23
Bihar,Pashchim Champaran,Measles,16,00,03-08-23,03-08-23
Gujarat,Patan,Dengue,16,00,04-08-23,05-08-23
Jammu and Kashmir,Kupwara,Acute Diarrheal Disease,12,00,02-08-23,02-08-23
Jharkhand,Lohardaga,Fever with Rash,05,00,03-08-23,03-08-23
Jharkhand,Ramgarh,Acute Diarrheal Disease,12,00,03-08-23,03-08-23
Jharkhand,Sahebganj,Dengue,05,00,02-08-23,02-08-23
Karnataka,Belagavi,Acute Diarrheal Disease,12,00,03-08-23,03-08-23
Karnataka,Raichur,Acute Diarrheal Disease,07,00,03-08-23,03-08-23
Karnataka,Raichur,Acute Diarrheal Disease,11,00,03-08-23,03-08-23
Karnataka,Udupi,Animal Bite - Dog Bite,01,01,03-08-23,03-08-23
Kerala,Kasaragod,Food Poisoning,11,00,04-08-23,05-08-23
Madhya Pradesh,Seoni,Leptospirosis,02,00,01-08-23,01-08-23
Maharashtra,Aurangabad,Fever,09,00,03-08-23,03-08-23
Maharashtra,Aurangabad,Dengue,07,00,03-08-23,03-08-23
Maharashtra,Kolhapur,Fever,11,00,04-08-23,04-08-23
Maharashtra,Nagpur,Fever,11,00,05-08-23,05-08-23
Maharashtra,Osmanabad,Fever,06,00,03-08-23,03-08-23
Nagaland,Dimapur,Japanese Encephalitis,03,01,04-08-23,04-08-23
Odisha,Baleshwar,Acute Diarrheal Disease,14,00,01-08-23,02-08-23
Odisha,Bargarh,Acute Diarrheal Disease,10,00,04-08-23,04-08-23
Odisha,Bolangir,Acute Diarrheal Disease,11,00,03-08-23,03-08-23
Odisha,Kanker,Acute Diarrheal Disease,12,00,02-08-23,03-08-23
Puducherry,Pondicherry,Food Poisoning,15,00,01-08-23,02-08-23
Punjab,Jalandhar,Cholera,06,00,05-08-23,06-08-23
Tamil Nadu,Madurai,Hepatitis A,137,00,15-07-23,01-08-23
Uttar Pradesh,Bhadohi,Acute Diarrheal Disease,19,00,01-08-23,01-08-23
Uttar Pradesh,Chandauli,Food Poisoning,11,00,04-08-23,04-08-23
Uttar Pradesh,Chandauli,Acute Diarrheal Disease,06,00,02-08-23,02-08-23
Uttar Pradesh,Jaunpur,Food Poisoning,10,00,02-08-23,03-08-23
Uttar Pradesh,Sonbhadra,Acute Diarrheal Disease,17,00,02-08-23,02-08-23
Uttar Pradesh,Sonbhadra,Acute Diarrheal Disease,12,00,16-07-23,01-08-23
Uttarakhand,Tehri Garhwal,Acute Diarrheal Disease,08,00,01-08-23,01-08-23
Andhra Pradesh,Nellore,Acute Diarrheal Disease,27,00,12-07-23,
Assam,Dibrugarh,Chickenpox,09,00,18-07-23,
Assam,Dibrugarh,Acute Diarrheal Disease,22,00,20-07-23,
Assam,Kamrup,Acute Diarrheal Disease,64,00,13-07-23,
Assam,Kamrup,Leptospirosis,15,00,13-07-23,
Assam,Marigaon,Japanese Encephalitis,05,00,19-07-23,
Assam,Sivasagar,Japanese Encephalitis,06,00,20-07-23,
Jammu and Kashmir,Jammu,Chickenpox,10,00,15-07-23,
Jammu and Kashmir,Shopian,Mumps,13,00,20-07-23,
Jharkhand,Khunti,Fever with Rash,11,00,19-07-23,
Karnataka,Kalaburagi,Leptospirosis,02,00,19-07-23,
Karnataka,Tumkur,Acute Diarrheal Disease,33,00,16-07-23,
Madhya Pradesh,Guna,Cholera,10,00,19-07-23,
Madhya Pradesh,Narsinghpur,Malaria,08,00,20-07-23,
Madhya Pradesh,Rewa,Food Poisoning,19,00,19-07-23,
Madhya Pradesh,Ujjain,Acute Diarrheal Disease,23,00,15-07-23,
Maharashtra,Thane,Fever,12,00,12-07-23,
Tamil Nadu,Salem,Fever,38,00,19-07-23,
Tamil Nadu,Thanjavur,Hepatitis A,18,00,18-07-23,
Tamil Nadu,Tiruchirappalli,Hepatitis A,29,00,17-07-23,
Uttar Pradesh,Chandauli,Acute Diarrheal Disease,37,00,18-07-23,
Uttar Pradesh,Chandauli,Acute Diarrheal Disease,54,01,19-07-23,
Uttar Pradesh,Chandauli,Acute Diarrheal Disease,10,00,16-07-23,
Uttar Pradesh,Siddharth Nagar,Acute Diarrheal Disease,24,00,18-07-23,
Bihar,Katihar,Fever with Rash,07,00,03-07-23,
Kerala,Malappuram,Dengue,40,00,15-06-23,
Kerala,Kottayam,Hepatitis A,07,00,07-07-23,
Karnataka,Bengaluru Urban,Acute Diarrheal Disease,08,00,25-06-23,
Sikkim,West District,Typhoid,53,00,05-07-23,
Tamil Nadu,Tiruppur,Dengue,27,00,25-06-23,
Bihar,Aurangabad,Acute Diarrheal Disease,17,00,07-08-23,08-08-23
Bihar,Gaya,Acute Diarrheal Disease,09,00,11-08-23,11-08-23
Chhattisgarh,Bilaspur,Acute Diarrheal Disease,17,00,10-08-23,10-08-23
Chhattisgarh,Durg,Dengue,14,00,09-08-23,09-08-23
Goa,South Goa,Dengue,06,00,11-08-23,11-08-23
Gujarat,Sabarkantha,Food Poisoning,43,00,10-08-23,10-08-23
Haryana,Jind,Dengue,05,00,09-08-23,09-08-23
Jammu and Kashmir,Anantnag,Acute Diarrheal Disease,13,00,11-08-23,11-08-23
Jammu and Kashmir,Badgam,Hepatitis A,10,00,07-08-23,07-08-23
Jammu and Kashmir,Ganderbal,Hepatitis A,09,00,10-08-23,10-08-23
Jammu and Kashmir,Jammu,Dengue,06,00,12-08-23,12-08-23
Jammu and Kashmir,Kupwara,Chickenpox,07,00,07-08-23,07-08-23
Jharkhand,Dumka,Dengue,07,00,09-08-23,09-08-23
Jharkhand,East Singhbum,Dengue,05,00,11-08-23,11-08-23
Jharkhand,Giridih,Acute Diarrheal Disease,15,00,09-08-23,09-08-23
Jharkhand,Lohardaga,Chickenpox,08,00,10-08-23,10-08-23
Jharkhand,West Singhbhum,Dengue,06,00,11-08-23,11-08-23
Karnataka,Chitradurga,Acute Diarrheal Disease,19,00,08-08-23,08-08-23
Karnataka,Vijayanagar,Acute Diarrheal Disease,10,00,08-08-23,08-08-23
Kerala,Kollam,Food Poisoning,21,00,08-08-23,08-08-23
Kerala,Kollam,Food Poisoning,35,00,08-08-23,09-08-23
Madhya Pradesh,Narsinghpur,Malaria,05,00,12-08-23,12-08-23
Madhya Pradesh,Vidisha,Shigellosis,09,00,11-08-23,11-08-23
Maharashtra,Aurangabad,Acute Diarrheal Disease,20,00,07-08-23,07-08-23
Maharashtra,Gondia,Malaria,07,00,11-08-23,11-08-23
Maharashtra,Satara,Dengue,08,00,10-08-23,10-08-23
Maharashtra,Yavatmal,Acute Diarrheal Disease,16,00,09-08-23,09-08-23
Meghalaya,West Garo Hills,Suspected Typhoid,18,00,07-08-23,07-08-23
Nagaland,Mon,Dengue,05,00,10-08-23,10-08-23
Nagaland,Wokha,Dengue,06,00,09-08-23,09-08-23
Odisha,Bolangir,Acute Diarrheal Disease,29,00,27-07-23,07-08-23
Odisha,Sambalpur,Acute Diarrheal Disease,12,00,10-08-23,10-08-23
Odisha,Sambalpur,Acute Diarrheal Disease,08,00,10-08-23,10-08-23
Rajasthan,Jhalawar,Cholera,05,00,07-08-23,07-08-23
Rajasthan,Jhalawar,Acute Diarrheal Disease,11,00,07-08-23,07-08-23
Rajasthan,Pratapgarh,Cholera,09,00,05-08-23,07-08-23
Uttar Pradesh,Bhadohi,Food Poisoning,10,00,07-08-23,07-08-23
Uttar Pradesh,Fatehpur,Dengue,05,00,08-08-23,08-08-23
Uttar Pradesh,Lalitpur,Acute Diarrheal Disease,13,00,07-08-23,07-08-23
Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,14,00,08-08-23,08-08-23
Andaman & Nicobar Islands,South Andaman’s,Acute Diarrheal Disease,18,0,18-08-23,18-08-23
Assam,Cachar,Japanese Encephalitis,1,1,12-08-23,14-08-23
Assam,Dhemaji,Acute Diarrheal Disease,7,0,17-08-23,17-08-23
Assam,Goalpara,Food Poisoning,3,1,14-08-23,14-08-23
Assam,Karbi Anglong,Acute Diarrheal Disease,14,0,17-08-23,17-08-23
Assam,South Salmar Mancachar,Food Poisoning,5,0,13-08-23,14-08-23
Bihar,Jamui,Fever with Rash,7,0,14-08-23,14-08-23
Bihar,Patna,Acute Diarrheal Disease,11,0,19-08-23,19-08-23
Chhattisgarh,Bijapur,Chickenpox,10,0,17-08-23,17-08-23
Chhattisgarh,Bilaspur,Acute Diarrheal Disease,15,0,13-08-23,17-08-23
Delhi,South Delhi,Dengue,40,0,17-08-23,18-08-23
Gujarat,Dohad,Food Poisoning,23,0,19-08-23,20-08-23
Gujarat,Patan,Hepatitis A,18,0,19-08-23,19-08-23
Gujarat,Surendranagar,Acute Diarrheal Disease,119,0,15-08-23,15-08-23
Haryana,Karnal,Scrub Typhus,28,0,10-08-23,16-08-23
Jammu and Kashmir,Anantnag,Mumps,65,0,19-08-23,19-08-23
Jammu and Kashmir,Kupwara,Chickenpox,67,0,19-07-23,19-08-23
Jammu and Kashmir,Pulwama,Hepatitis A,12,0,16-08-23,16-08-23
Jammu and Kashmir,Shopian,Measles,6,0,19-08-23,19-08-23
Jammu and Kashmir,Shopian,Hepatitis A,9,0,18-08-23,18-08-23
Jammu and Kashmir,Srinagar,Mumps,16,0,18-08-23,18-08-23
Jharkhand,Chatra,Acute Diarrheal Disease,12,0,18-08-23,19-08-23
Jharkhand,West Singhbhum,Acute Diarrheal Disease,5,0,19-08-23,19-08-23
Karnataka,Chikkaballapura,Food Poisoning,29,0,16-08-23,17-08-23
Karnataka,Mysuru,Mumps,6,0,17-08-23,17-08-23
Karnataka,Vijayapura,Acute Diarrheal Disease,41,0,15-08-23,15-08-23
Kerala,Ernakulam,Dengue,19,0,10-08-23,22-08-23
Kerala,Malappuram,Dengue,24,0,13-08-23,15-08-23
Madhya Pradesh,Chhindwara,Acute Diarrheal Disease,44,0,13-07-23,16-08-23
Madhya Pradesh,Damoh,Acute Diarrheal Disease,50,1,10-08-23,18-08-23
Madhya Pradesh,Morena,Dengue,44,0,16-08-23,17-08-23
Maharashtra,Beed,Suspected Dengue Fever,27,1,17-08-23,17-08-23
Maharashtra,Gadchiroli,Malaria,2,1,18-08-23,19-08-23
Maharashtra,Gadchiroli,Dengue,55,0,17-08-23,18-08-23
Maharashtra,Jalna,Suspected Dengue Fever,5,1,12-08-23,18-08-23
Maharashtra,Thane,Leptospirosis,1,1,15-08-23,18-08-23
Manipur,Tamenglong,Acute Diarrheal Disease,24,0,12-08-23,20-08-23
Mizoram,Hnahthial,Food poisoning,23,0,13-08-23,18-08-23
Mizoram,Mamit,Food poisoning,63,0,10-08-23,18-08-23
Nagaland,Peren,Acute Diarrheal Disease,12,0,14-08-23,14-08-23
Odisha,Balasore,Mushroom Poisoning,11,0,16-08-23,16-08-23
Odisha,Sambalpur,Acute Diarrheal Disease,32,0,13-08-23,16-08-23
Odisha,Sundargarh,Malaria,22,0,11-08-23,14-08-23
Tamil Nadu,Ariyalur,Mumps,10,0,15-08-23,17-08-23
Tamil Nadu,Erode,Animal Bite - Dog Bite,13,0,18-08-23,19-08-23
Tamil Nadu,Thanjavur,Diphtheria,4,0,15-08-23,18-08-23
Tamil Nadu,Tiruchirappalli,Acute Diarrheal Disease,41,0,17-08-23,18-08-23
Tamil Nadu,Villupuram,Acute Diarrheal Disease,52,0,19-08-23,19-08-23
Uttar Pradesh,Fatehpur,Dengue,8,0,14-08-23,16-08-23
Uttar Pradesh,Kaushambi,Food Poisoning,13,0,16-08-23,18-08-23
Uttar Pradesh,Mirzapur,Acute Diarrheal Disease,65,0,18-08-23,18-08-23
West Bengal,Purulia,Acute Diarrheal Disease,12,0,16-08-23,17-08-23
Andhra Pradesh,Adilabad,Acute Diarrhoeal Disease,18 / 0,17.08.09,17.08.09  
Andhra Pradesh,Visakhapatnam,Acute Diarrhoeal Disease,26 / 0,21.08.09,22.08.09  
Bihar,Munger,Malaria,850 / 1,17.08.09,23.08.09  
Karnataka,Hassan,Acute Diarrhoeal Disease,54 / 0,19.08.09,21.08.09  
Madhya Pradesh,Morena,Acute Diarrhoeal Disease,25 / 2,20.08.09,20.08.09  
Madhya Pradesh,Pauna,Acute Diarrhoeal Disease,15 / 0,19.08.09,19.08.09  
Orissa,Koraput,Food Poisoning,4 / 4,18.08.09,24.08.09  
Orissa,,Food Poisoning,2 / 2,23.08.09,25.08.09  
Punjab,Hoshiarpur,Acute Diarrhoeal Disease,40 / 0,21.08.09,21.08.09  
Punjab,Gurdaspur,Acute Diarrhoeal Disease,20 / 0,15.08.09,15.08.09  
Uttar Pradesh,Hardoi,Food Poisoning,8 / 1,23.08.09,24.08.09  
Chhattisgarh,Raipur,Acute Diarrhoeal Disease,11 / 0,06.08.09,  
Karnataka,Koppal,Acute Diarrhoeal Disease,26 / 0,09.08.09,  
Karnataka,Bellary,Acute Diarrhoeal Disease,26 / 0,11.08.09,  
Karnataka,Haveri,Acute Diarrhoeal Disease,82 / 0,12.08.09,  
Madhya Pradesh,Dewas,Dengue,2 / 0,28.07.09,  
Tamil Nadu,Theni,Fever,19 / 0,10.08.09,  
Orissa,Kalahandi,Acute Diarrhoeal Disease,217 / 24,31.07.09,  
Assam,Sivasagar,Japanese Encephalitis,125/41*,04.06.09,
Arunachal Pradesh,Papum Pare,Rabies,1,1,14-09-23,14-09-23
Assam,Baksa,Food Poisoning,45,0,11-09-23,12-09-23
Assam,Charaideo,Acute Diarrheal Disease,36,0,11-09-23,11-09-23
Assam,Golaghat,Acute Diarrheal Disease,6,0,16-09-23,16-09-23
Assam,Karbi Anglong,Chikungunya & Dengue,23,0,13-09-23,13-09-23
Bihar,Banka,Dengue,60,0,13-09-23,14-09-23
Bihar,Jehanabad,Dengue,35,0,14-09-23,14-09-23
Bihar,Katihar,Measles,14,0,18-07-23,16-09-23
Bihar,Sitamarhi,Acute Diarrheal Disease,75,0,13-09-23,13-09-23
Chhattisgarh,Bemetara,Acute Diarrheal Disease,6,0,10-09-23,11-09-23
Chhattisgarh,Bilaspur,Cholera,14,0,13-09-23,15-09-23
Chhattisgarh,Korba,Acute Diarrheal Disease,14,0,09-09-23,14-09-23
Chhattisgarh,Raigarh,Acute Diarrheal Disease,37,0,12-09-23,12-09-23
Jammu and Kashmir,Baramulla,Jaundice,24,0,16-09-23,16-09-23
Jammu and Kashmir,Ganderbal,Mumps,15,0,08-09-23,12-09-23
Jammu and Kashmir,Kupwara,Jaundice,8,0,14-09-23,14-09-23
Jammu and Kashmir,Udhampur,Human Rabies,1,1,09-09-23,14-09-23
Jharkhand,Khunti,Chickenpox,17,0,15-09-23,15-09-23
Jharkhand,Latehar,Fever,36,0,09-09-23,12-09-23
Jharkhand,Lohardaga,Dengue,52,0,09-09-23,14-09-23
Karnataka,Ballari,Acute Diarrheal Disease,43,0,16-09-23,16-09-23
Karnataka,Chitradurga,Acute Diarrheal Disease,18,0,12-09-23,13-09-23
Kerala,Alappuzha,Chickenpox,14,0,08-09-23,14-09-23
Kerala,Kottayam,Food Poisoning,19,0,10-09-23,11-09-23
Madhya Pradesh,Guna,Chickenpox,6,0,14-09-23,14-09-23
Madhya Pradesh,Rewa,Acute Diarrheal Disease,16,1,17-09-23,17-09-23
Madhya Pradesh,Tikamgarh,Acute Diarrheal Disease,58,3,15-09-23,15-09-23
Maharashtra,Amravati,Dengue,10,1,11-09-23,12-09-23
Maharashtra,Beed,Fever,5,1,14-09-23,14-09-23
Maharashtra,Beed,Dengue,5,1,11-09-23,14-09-23
Maharashtra,Latur,Dengue,4,0,11-09-23,11-09-23
Maharashtra,Parbhani,Dengue,24,1,11-09-23,12-09-23
Maharashtra,Pune,Chikungunya,9,0,08-09-23,12-09-23
Maharashtra,Raigad,Malaria,4,1,12-09-23,15-09-23
Maharashtra,Raigad,Dengue,3,1,09-09-23,12-09-23
Maharashtra,Thane,Malaria,3,1,14-09-23,16-09-23
Maharashtra,Washim,Dengue,9,0,15-09-23,15-09-23
Manipur,Imphal West,Chickenpox,0,0,12-09-23,14-09-23
Manipur,Imphal West,Suspected Japanese Encephalitis,1,1,11-09-23,14-09-23
Meghalaya,East Khasi Hills,Measles,63,0,14-09-23,15-09-23
Nagaland,Kiphire,Dengue,59,0,15-09-23,15-09-23
Odisha,Ganjam,Mumps,36,0,14-09-23,15-09-23
Odisha,Koraput,Food Poisoning,12,0,15-09-23,16-09-23
Odisha,Sambalpur,Acute Diarrheal Disease,7,0,15-09-23,15-09-23
Tamil Nadu,Tiruppur,Dengue,11,0,09-09-23,12-09-23
Uttar Pradesh,Sonbhadra,Malaria,46,0,11-09-23,12-09-23
Bihar,Pashchim Champaran,Measles,7,0,29-08-23,
Jammu and Kashmir,Baramulla,Mumps,11,0,14-08-23,
Jammu and Kashmir,Jammu,Chikungunya,9,0,01-09-23,
Jharkhand,Deoghar,Dengue,24,0,04-09-23,
Kerala,Kozhikode,Nipah,6,2,30-06-23,
Kerala,Palakkad,Mumps,15,0,25-08-23,
Madhya Pradesh,Agar Malwa,Acute Diarrheal Disease,9,0,28-08-23,
Maharashtra,Jalna,Dengue,6,1,04-09-23,
Uttar Pradesh,Jaunpur,Scrub Typhus,9,0,20-08-23,
Assam,Bajali,Animal Bite Dog Bite,1,1,28-09-23,30-09-23
Assam,Bajali,Food Poisoning,58,0,26-09-23,26-09-23
Assam,Charaldoo,Acute Diarrheal Disease,76,0,29-09-23,01-10-23
Assam,Darrang,Food Poisoning,7,0,25-09-23,25-09-23
Assam,Dhemaji,Food Poisoning,20,0,01-10-23,01-10-23
Bihar,Madhubani,Acute Diarrheal Disease,29,0,27-09-23,27-09-23
Bihar,Vaishali,Mumps,13,0,27-09-23,29-09-23
Chhattisgarh,Bemetara,Cholera,38,1,29-09-23,29-09-23
Chhattisgarh,Raipur,Acute Diarrheal Disease,17,0,30-09-23,01-10-23
Chhattisgarh,Raipur,Acute Diarrheal Disease,89,0,29-09-23,01-10-23
Gujarat,Ahmadabad,Cholera,30,0,26-09-23,26-09-23
Haryana,Kaithal,Acute Diarrheal Disease,11,0,27-09-23,27-09-23
Jammu and Kashmir,Srinagar,Hepatitis A,26,0,27-09-23,27-09-23
Jharkhand,Chatra,Dengue,11,0,23-09-23,29-09-23
Jharkhand,Deoghar,Malaria,18,0,30-09-23,01-10-23
Karnataka,Ballari,Mumps,12,0,29-09-23,30-09-23
Karnataka,Chitradurga,Food Poisoning,10,0,27-09-23,30-09-23
Karnataka,Kalaburagi,Chikungunya,10,0,25-09-23,25-09-23
Karnataka,Kalaburagi,Mumps,10,0,25-09-23,25-09-23
Karnataka,Tumakuru,Fever,34,0,28-09-23,29-09-23
Karnataka,Tumakuru,Acute Diarrheal Disease,46,0,25-09-23,27-09-23
Kerala,Malappuram,Hepatitis A,22,0,25-09-23,25-09-23
Kerala,Palakkad,Hepatitis A,20,0,22-09-23,26-09-23
Kerala,Thrissur,Chickenpox,36,0,29-09-23,29-09-23
Kerala,Kannur,Food Poisoning,20,0,25-09-23,27-09-23
Kerala,Trivandrum,Acute Diarrheal Disease,91,0,27-09-23,25-09-23
Madhya Pradesh,Burhanpur,Malaria,29,0,26-09-23,27-09-23
Maharashtra,Aurangabad,Dengue,3,1,27-09-23,28-09-23
Maharashtra,Beed,Dengue,10,0,29-09-23,29-09-23
Maharashtra,Nanded,Acute Diarrheal Disease,46,0,24-09-23,26-09-23
Nagaland,Peren,Malaria,17,0,01-10-23,01-10-23
Puducherry,Pondicherry,Dengue,14,0,27-09-23,27-09-23
Punjab,S.A.S Nagar,Hepatitis A,28,1,18-09-23,25-09-23
Tamil Nadu,Dindigul,Dengue,12,0,25-09-23,29-09-23
Uttar Pradesh,Lalitpur,Acute Diarrheal Disease,55,0,24-09-23,26-09-23
West Bengal,Birbhum,Acute Diarrheal Disease,33,0,27-09-23,29-09-23
Jammu and Kashmir,Jammu,Measles,5,0,19-09-23,19-09-23
Karnataka,Chamarajanagar,Leptospirosis,1,1,16-09-23,16-09-23
Kerala,Kozhikode,Hepatitis A,26,0,08-08-23,08-08-23
Madhya Pradesh,Satna,Acute Diarrheal Disease,8,2,30-08-23,30-08-23
Maharashtra,Thane,Dengue,6,1,12-09-23,12-09-23
Meghalaya,Ri Bhoi,Measles,16,0,19-09-23,19-09-23
Nagaland,Longleng,Dengue,155,0,20-09-23,20-09-23
Nagaland,Phek,Dengue,105,0,15-09-23,15-09-23
Assam,Bajali,Animal Bite - Dog Bite,1,1,28-09-23,30-09-23
Assam,Bajali,Food Poisoning,58,0,26-09-23,26-09-23
Assam,Charaideo,Acute Diarrheal Disease,76,0,29-09-23,01-10-23
Assam,Darrang,Food Poisoning,7,0,25-09-23,25-09-23
Assam,Dhemaji,Food Poisoning,20,0,01-10-23,01-10-23
Bihar,Madhubani,Acute Diarrheal Disease,29,0,27-09-23,27-09-23
Bihar,Vaishali,Mumps,13,0,27-09-23,29-09-23
Chhattisgarh,Bemetara,Cholera,38,1,29-09-23,29-09-23
Chhattisgarh,Raipur,Acute Diarrheal Disease,17,0,30-09-23,01-10-23
Chhattisgarh,Raipur,Acute Diarrheal Disease,89,0,29-09-23,01-10-23
Gujarat,Ahmadabad,Cholera,30,0,26-09-23,26-09-23
Haryana,Kaithal,Acute Diarrheal Disease,11,0,27-09-23,27-09-23
Jammu and Kashmir,Srinagar,Hepatitis A,26,0,27-09-23,27-09-23
Jharkhand,Chatra,Dengue,11,0,23-09-23,29-09-23
Jharkhand,Deoghar,Malaria,18,0,30-09-23,01-10-23
Karnataka,Ballari,Mumps,12,0,29-09-23,30-09-23
Karnataka,Chitradurga,Food Poisoning,10,0,27-09-23,30-09-23
Karnataka,Davangere,Human Rabies,1,1,24-09-23,27-09-23
Karnataka,Kalaburagi,Chikungunya,10,0,25-09-23,25-09-23
Karnataka,Kalaburagi,Mumps,10,0,25-09-23,25-09-23
Karnataka,Tumakuru,Fever,34,0,28-09-23,29-09-23
Karnataka,Tumakuru,Acute Diarrheal Disease,46,0,25-09-23,27-09-23
Kerala,Malappuram,Hepatitis A,22,0,25-09-23,25-09-23
Kerala,Palakkad,Hepatitis A,20,0,22-09-23,26-09-23
Kerala,Thrissur,Chickenpox,36,0,29-09-23,29-09-23
Kerala,Kannur,Food Poisoning,20,0,25-09-23,27-09-23
Kerala,Trivandrum,Acute Diarrheal Disease,91,0,27-09-23,25-09-23
Madhya Pradesh,Burhanpur,Malaria,29,0,26-09-23,27-09-23
Maharashtra,Aurangabad,Dengue,3,1,27-09-23,28-09-23
Maharashtra,Beed,Dengue,10,0,29-09-23,29-09-23
Maharashtra,Nanded,Acute Diarrheal Disease,46,0,24-09-23,26-09-23
Nagaland,Peren,Malaria,17,0,01-10-23,01-10-23
Puducherry,Pondicherry,Dengue,14,0,27-09-23,27-09-23
Punjab,S.A.S Nagar,Hepatitis A,28,1,18-09-23,25-09-23
Tamil Nadu,Dindigul,Dengue,12,0,25-09-23,29-09-23
Uttar Pradesh,Lalitpur,Acute Diarrheal Disease,55,0,24-09-23,26-09-23
West Bengal,Birbhum,Acute Diarrheal Disease,33,0,27-09-23,29-09-23
Jammu and Kashmir,Jammu,Measles,5,0,19-09-23,
Karnataka,Chamarajanagar,Leptospirosis,1,1,16-09-23,
Kerala,Kozhikode,Hepatitis A,26,0,08-08-23,
Madhya Pradesh,Satna,Acute Diarrheal Disease,8,2,30-08-23,
Maharashtra,Thane,Dengue,6,1,12-09-23,
Meghalaya,Ri Bhoi,Measles,16,0,19-09-23,
Nagaland,Longleng,Dengue,155,0,20-09-23,
Nagaland,Phek,Dengue,105,0,15-09-23,
Kerala,Ernakulam,Food Poisoning,106,00,16-01-23,16-01-23  
Kerala,Ernakulam,Food Poisoning (Norovirus),73,00,13-01-23,25-01-23  
Kerala,Kannur,Food Poisoning,263,00,14-01-23,19-01-23  
Punjab,S.A.S Nagar,Acute Diarrheal Disease,32,00,15-01-23,19-01-23  
Assam,Lakhimpur,Chickenpox & Measles,12,00,03-01-23,  
Gujarat,Bhavnagar,Food Poisoning,559,00,03-12-22,  
Jharkhand,Lohardaga,Fever with Rash,13,00,20-12-22,  
Karnataka,Udupi,Japanese Encephalitis,01,01,17-12-22,  
Kerala,Kannur,Probable Leishmaniasis,01,01,22-11-22,  
Kerala,Palakkad,Japanese Encephalitis,01,01,24-12-22,  
Maharashtra,Aurangabad,Measles,14,00,30-12-22,  
Tripura,South Tripura,Acute Diarrheal Disease,147,00,01-01-23,  
Uttar Pradesh,Bhadohi,Measles,17,00,03-01-23,  
Uttar Pradesh,Faizabad,Measles,10,00,05-01-23,  
Uttar Pradesh,Pratapgarh,Chickenpox,18,00,01-01-23,  
Uttar Pradesh,Jhansi,Chickenpox,11,00,09-01-23,  
Bihar,Purnia,Dengue,21,0,29-09-23,04-10-23
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,27,0,04-10-23,04-10-23
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,25,0,03-10-23,03-10-23
Chhattisgarh,Durg,Cholera,15,0,04-10-23,04-10-23
Chhattisgarh,Janjgir-Champa,Acute Diarrheal Disease,25,0,30-09-23,03-10-23
Chhattisgarh,Surguja,Fever,48,0,03-10-23,03-10-23
Gujarat,Dang,Food Poisoning,25,0,07-10-23,07-10-23
Gujarat,Mahesana,Hepatitis A,57,0,04-10-23,04-10-23
Jammu and Kashmir,Baramulla,Jaundice,12,0,04-10-23,06-10-23
Jammu and Kashmir,Rajouri,Dengue,51,0,07-10-23,07-10-23
Jammu and Kashmir,Samba,Chikungunya,10,0,07-10-23,07-10-23
Jammu and Kashmir,Samba,Chikungunya,18,0,06-10-23,07-10-23
Jammu and Kashmir,Srinagar,Mumps,8,0,05-10-23,05-10-23
Jharkhand,Khunti,Chikungunya,9,0,01-10-23,07-10-23
Jharkhand,Sahebganj,Acute Diarrheal Disease,14,2,06-10-23,07-10-23
Karnataka,Bengaluru Rural,Fever,27,0,04-10-23,04-10-23
Karnataka,Raichur,Japanese Encephalitis,6,0,02-10-23,03-10-23
Karnataka,Udupi,Acute Diarrheal Disease,5,0,06-10-23,07-10-23
Karnataka,Uttar Kannad,Leptospirosis,3,1,03-10-23,03-10-23
