State/UT,District,Disease/Illness,No. of Cases,No. of Deaths,Date of Start of Outbreak,Date of Reporting
Maharashtra,Nagpur,Cholera,5,0,04-06-2024,07-06-2024
Maharashtra,Thane,Dengue,24,0,06-06-2024,07-06-2024
Meghalaya,East Khasi Hills,Chickenpox,100,0,06-06-2024,07-06-2024
Meghalaya,East Khasi Hills,Measles,28,0,07-06-2024,07-06-2024
Meghalaya,Eastern West Khasi Hills,Hepatitis A,4,0,31-05-2024,05-06-2024
Meghalaya,Ri Bhoi,Mushroom Poisoning,5,2,04-06-2024,05-06-2024
Meghalaya,South West Khasi Hills,Mushroom Poisoning,10,2,03-06-2024,07-06-2024
Meghalaya,West Jaintia Hills,Mushroom Poisoning,12,5,01-06-2024,05-06-2024
Odisha,Deogarh,Food Poisoning,49,0,07-06-2024,07-06-2024
Odisha,Dhenkanal,Acute Diarrheal Disease,31,0,02-06-2024,04-06-2024
Odisha,Kandhamal,Measles,12,0,01-06-2024,04-06-2024
Odisha,Koraput,Anthrax,5,0,06-06-2024,07-06-2024
Odisha,Puri,Acute Diarrheal Disease,22,0,04-06-2024,06-06-2024
Odisha,Rayagada,Measles,7,0,03-06-2024,03-06-2024
Rajasthan,Tonk,Food Poisoning,125,0,31-05-2024,03-06-2024
Sikkim,Gangtok,Hepatitis A,25,0,30-05-2024,06-06-2024
Sikkim,Gyalshing,Chickenpox,32,0,03-06-2024,05-06-2024
Tamil Nadu,Erode,Acute Diarrheal Disease,10,3,06-06-2024,07-06-2024
Tamil Nadu,Erode,Acute Diarrheal Disease,72,0,02-06-2024,03-06-2024
Tamil Nadu,Madurai,Hepatitis A,13,0,04-06-2024,07-06-2024
Tamil Nadu,Villupuram,Hepatitis A,21,0,03-06-2024,05-06-2024
West Bengal,24 Paraganas South,Food Poisoning,35,0,02-06-2024,05-06-2024
West Bengal,Alipurduar,Malaria,13,0,31-05-2024,05-06-2024
Bihar,Gaya,Measles,3,0,22-05-2024,
Chhattisgarh,Raipur,Acute Diarrheal Disease,77,0,25-05-2024,
Gujarat,Banaskantha,Cholera,239,1,03-05-2024,
Himachal Pradesh,Hamirpur,Acute Diarrheal Disease,415,0,12-03-2024,
Jharkhand,Lohardaga,Measles,14,0,23-05-2024,
Kerala,Thrissur,Hepatitis A,5,0,24-05-2024,
Andhra Pradesh,Alluri Sitharama Raju,Malaria,39,0,10-06-2024,13-06-2024
Andhra Pradesh,Annamayya,Acute Diarrheal Disease,28,0,11-06-2024,12-06-2024
Andhra Pradesh,Bapatla,Acute Diarrheal Disease,44,0,15-06-2024,15-06-2024
Andhra Pradesh,Chittoor,Cholera,61,0,11-06-2024,15-06-2024
Andhra Pradesh,Chittoor,Acute Diarrheal Disease,10,0,15-06-2024,15-06-2024
Andhra Pradesh,Tirupati,Acute Diarrheal Disease,24,0,08-06-2024,13-06-2024
Arunachal Pradesh,Tawang,Chickenpox,10,0,11-06-2024,11-06-2024
Assam,Darrang,Food Poisoning,5,0,08-06-2024,11-06-2024
Assam,Goalpara,Leptospirosis,20,0,11-06-2024,15-06-2024
Assam,Kokrajhar,Food Poisoning,6,0,14-06-2024,15-06-2024
Assam,Kokrajhar,Acute Diarrheal Disease,8,0,09-06-2024,10-06-2024
Assam,Kokrajhar,Acute Diarrheal Disease,7,0,08-06-2024,10-06-2024
Assam,Nalbari,Acute Diarrheal Disease,5,0,14-06-2024,16-06-2024
Assam,Nalbari,Japanese Encephalitis,1,1,13-06-2024,16-06-2024
Assam,Sonitpur,Food Poisoning,5,1,12-06-2024,12-06-2024
Bihar,Bhojpur,Fever with Rash,11,0,12-06-2024,12-06-2024
Bihar,Saran,Acute Diarrheal Disease,67,0,10-06-2024,12-06-2024
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,28,0,14-06-2024,14-06-2024
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,24,0,10-06-2024,10-06-2024
Gujarat,Anand,Acute Diarrheal Disease,46,0,08-06-2024,10-06-2024
Gujarat,Gandhinagar,Cholera,138,0,13-06-2024,14-06-2024
Gujarat,Gandhinagar,Cholera,12,0,09-06-2024,10-06-2024
Gujarat,Gandhinagar,Cholera,11,0,10-06-2024,10-06-2024
Gujarat,Kheda,Acute Diarrheal Disease,812,0,16-06-2024,16-06-2024
Gujarat,Kheda,Acute Diarrheal Disease,27,0,15-06-2024,15-06-2024
Himachal Pradesh,Mandi,Hepatitis A,41,0,12-06-2024,15-06-2024
Jammu and Kashmir,Bandipora,Hepatitis A,18,0,12-06-2024,12-06-2024
Jammu and Kashmir,Ganderbal,Acute Diarrheal Disease,38,0,12-06-2024,12-06-2024
Jammu and Kashmir,Kathua,Mumps,10,0,10-06-2024,11-06-2024
Jharkhand,West Singhbhum,Measles,28,0,10-06-2024,10-06-2024
Jharkhand,West Singhbhum,Measles,30,0,08-06-2024,10-06-2024
Karnataka,Belagavi,Cholera,118,0,16-06-2024,16-06-2024
Karnataka,Belagavi,Cholera,31,0,12-06-2024,12-06-2024
Karnataka,Kalaburagi,Acute Diarrheal Disease,38,0,12-06-2024,12-06-2024
Karnataka,Raichur,Malaria,49,0,12-06-2024,13-06-2024
Karnataka,Tumakuru,Cholera,163,3,10-06-2024,11-06-2024
Kerala,Ernakulam,Acute Diarrheal Disease,11,0,10-06-2024,10-06-2024
Kerala,Idukki,Mumps,7,0,07-06-2024,12-06-2024
Kerala,Kozhikode,Hepatitis A,36,1,16-06-2024,16-06-2024
Kerala,Malappuram,Hepatitis A,11,0,13-06-2024,13-06-2024
Kerala,Palakkad,Acute Diarrheal Disease,58,0,12-06-2024,12-06-2024
Kerala,Palakkad,Acute Diarrheal Disease,87,0,11-06-2024,11-06-2024
Madhya Pradesh,Bhind,Cholera,92,0,10-06-2024,11-06-2024
Madhya Pradesh,Morena,Cholera,28,0,12-06-2024,13-06-2024
Maharashtra,Bhandara,Japanese Encephalitis,3,1,13-06-2024,13-06-2024
Maharashtra,Gadchiroli,Malaria,5,1,08-06-2024,12-06-2024
Maharashtra,Nagpur,Chikungunya,40,0,10-06-2024,11-06-2024
Maharashtra,Nanded,Dengue,13,0,07-06-2024,13-06-2024
Maharashtra,Palghar,Chikungunya,6,0,14-06-2024,15-06-2024
Maharashtra,Pune,Cholera,81,0,11-06-2024,13-06-2024
Maharashtra,Sangli,Dengue,8,1,12-06-2024,11-06-2024
Maharashtra,Sangli,Food Poisoning,20,0,12-06-2024,11-06-2024
Maharashtra,Satara,Acute Diarrheal Disease,106,0,10-06-2024,11-06-2024
Meghalaya,East Khasi Hills,Mushroom Poisoning,6,0,09-06-2024,10-06-2024
Odisha,Jharsuguda,Acute Diarrheal Disease,19,0,15-06-2024,15-06-2024
Odisha,Koraput,Acute Diarrheal Disease,11,0,13-06-2024,13-06-2024
Odisha,Koraput,Acute Diarrheal Disease,46,0,10-06-2024,10-06-2024
Odisha,Koraput,Anthrax,5,0,07-06-2024,10-06-2024
Odisha,Rayagada,Diphtheria,10,5,11-06-2024,13-06-2024
Odisha,Rayagada,Acute Diarrheal Disease,5,1,10-06-2024,11-06-2024
Odisha,Sundargarh,Acute Diarrheal Disease,14,0,15-06-2024,15-06-2024
Tamil Nadu,Kanchipuram,Acute Diarrheal Disease,20,0,13-06-2024,13-06-2024
Tamil Nadu,Krishnagiri,Acute Diarrheal Disease,123,0,13-06-2024,16-06-2024
Tamil Nadu,Tiruchirappalli,Cholera,46,0,14-06-2024,14-06-2024
Tamil Nadu,Tiruppur,Acute Diarrheal Disease,16,0,10-06-2024,10-06-2024
Uttarakhand,Almora,Acute Diarrheal Disease,8,0,10-06-2024,11-06-2024
West Bengal,Purulia,Malaria,14,0,12-06-2024,14-06-2024
Andhra Pradesh,Chittoor,Food Poisoning,53,0,19-06-2024,21-06-2024
Andhra Pradesh,Chittoor,Acute Diarrheal Disease,14,0,11-06-2024,18-06-2024
Andhra Pradesh,Kakinada,Acute Diarrheal Disease,20,0,18-06-2024,21-06-2024
Arunachal Pradesh,Longding,Cholera,78,3,18-06-2024,19-06-2024
Arunachal Pradesh,Upper Subansiri,Measles,7,0,17-06-2024,17-06-2024
Assam,Dhubri,Diphtheria,1,1,19-06-2024,19-06-2024
Assam,Kamrup Metro,Chickenpox,56,0,18-06-2024,18-06-2024
Assam,Nagaon,Hepatitis A,10,0,21-06-2024,21-06-2024
Chhattisgarh,Bemetara,Acute Diarrheal Disease,25,0,19-06-2024,19-06-2024
Chhattisgarh,Kabirdham,Acute Diarrheal Disease,42,0,22-06-2024,22-06-2024
Gujarat,Ahmadabad,Food Poisoning,60,0,21-06-2024,22-06-2024
Gujarat,Anand,Cholera,176,0,21-06-2024,21-06-2024
Gujarat,Gir Somnath,Dengue,16,0,20-06-2024,20-06-2024
Gujarat,Kachchh,Cholera,30,0,20-06-2024,22-06-2024
Gujarat,Kheda,Acute Diarrheal Disease,53,0,20-06-2024,20-06-2024
Gujarat,Rajkot,Cholera,46,6,22-06-2024,23-06-2024
Gujarat,Vadodara,Cholera,5,0,22-06-2024,23-06-2024
Himachal Pradesh,Kangra,Acute Diarrheal Disease,115,0,22-06-2024,23-06-2024
Jammu and Kashmir,Kupwara,Mumps,14,0,20-06-2024,20-06-2024
Jharkhand,Dumka,Chickenpox,13,0,19-06-2024,20-06-2024
Jharkhand,East Singhbum,Malaria,55,0,20-06-2024,20-06-2024
Jharkhand,Gumla,Measles,6,0,14-06-2024,21-06-2024
Karnataka,Koppal,Acute Diarrheal Disease,43,1,16-06-2024,18-06-2024
Karnataka,Koppal,Cholera,55,0,16-06-2024,17-06-2024
Karnataka,Mandya,Acute Diarrheal Disease,19,0,20-06-2024,20-06-2024
Karnataka,Mandya,Acute Diarrheal Disease,13,0,16-06-2024,17-06-2024
Karnataka,Tumakuru,Cholera,9,0,20-06-2024,21-06-2024
Karnataka,Tumakuru,Human Rabies,1,1,18-06-2024,18-06-2024
Karnataka,Uttar Kannad,Acute Diarrheal Disease,13,0,19-06-2024,20-06-2024
Karnataka,Yadgir,Food Poisoning,172,0,15-06-2024,19-06-2024
Kerala,Alappuzha,Food Poisoning,19,0,19-06-2024,21-06-2024
Kerala,Ernakulam,Dengue,10,0,22-06-2024,22-06-2024
Kerala,Ernakulam,Acute Diarrheal Disease,496,0,17-06-2024,20-06-2024
Kerala,Palakkad,Food Poisoning,102,0,21-06-2024,21-06-2024
Ladakh,Leh Ladakh,Mumps,62,0,20-06-2024,21-06-2024
Madhya Pradesh,Narsinghpur,Dengue,18,0,21-06-2024,21-06-2024
Madhya Pradesh,Tikamgarh,Acute Diarrheal Disease,102,0,22-06-2024,23-06-2024
Maharashtra,Jalgaon,Acute Diarrheal Disease,115,0,18-06-2024,19-06-2024
Maharashtra,Kolhapur,Dengue,24,0,22-06-2024,23-06-2024
Maharashtra,Kolhapur,Hepatitis A,35,0,20-06-2024,20-06-2024
Maharashtra,Osmanabad,Dengue,14,0,19-06-2024,20-06-2024
Odisha,Koraput,Diphtheria,1,1,17-06-2024,18-06-2024
Odisha,Koraput,Anthrax,6,0,19-06-2024,20-06-2024
Odisha,Malkangiri,Acute Diarrheal Disease,8,1,18-06-2024,18-06-2024
Odisha,Mayurbhanj,Acute Diarrheal Disease,26,0,20-06-2024,19-06-2024
Odisha,Puri,Acute Diarrheal Disease,12,0,20-06-2024,21-06-2024
Odisha,Sambalpur,Hepatitis A,132,0,17-06-2024,18-06-2024
Odisha,Sonepur,Acute Diarrheal Disease,33,0,19-06-2024,19-06-2024
Tamil Nadu,Tiruvannamalai,Acute Diarrheal Disease,14,0,19-06-2024,20-06-2024
Uttarakhand,Nainital,Acute Diarrheal Disease,75,1,18-06-2024,18-06-2024
West Bengal,Purulia,Acute Diarrheal Disease,6,0,20-06-2024,20-06-2024
Andhra Pradesh,Anantapur,Food Poisoning,58,0,08-06-2024,
Jharkhand,Latehar,Fever with Rash,41,0,20-05-2024,
Kerala,Thrissur,Dengue,265,0,03-06-2024,
Kerala,Thrissur,Acute Diarrheal Disease,44,0,10-06-2024,
Meghalaya,East Jaintia Hills,Mumps,30,0,09-06-2024,
Uttar Pradesh,Fatehpur,Chickenpox,7,0,22-05-2024,
Andhra Pradesh,Chittoor,Acute Diarrheal Disease,9,0,28-06-2024,28-06-2024
Andhra Pradesh,Chittoor,Acute Diarrheal Disease,25,0,24-06-2024,24-06-2024
Andhra Pradesh,Nandyal,Acute Diarrheal Disease,17,0,22-06-2024,24-06-2024
Assam,Chirang,Malaria,6,0,27-06-2024,27-06-2024
Assam,Karbi Anglong,Acute Encephalitic Syndrome,1,1,28-06-2024,28-06-2024
Assam,Majuli,Mushroom Poisoning,1,1,25-06-2024,28-06-2024
Bihar,Purbi Champaran,Measles,9,0,26-06-2024,27-06-2024
Gujarat,Anand,Cholera,60,0,27-06-2024,28-06-2024
Gujarat,Mahisagar,Food Poisoning,8,0,29-06-2024,29-06-2024
Jammu and Kashmir,Baramulla,Hepatitis A,14,0,25-06-2024,25-06-2024
Jammu and Kashmir,Kupwara,Chickenpox,26,0,26-06-2024,26-06-2024
Jammu and Kashmir,Srinagar,Hepatitis A,14,0,26-06-2024,27-06-2024
Jharkhand,Koderma,Malaria,6,0,26-06-2024,29-06-2024
Karnataka,Ballari,Acute Diarrheal Disease,15,0,24-06-2024,25-06-2024
Karnataka,Belagavi,Cholera,10,0,24-06-2024,24-06-2024
Karnataka,Bidar,Acute Diarrheal Disease,10,0,24-06-2024,25-06-2024
Karnataka,Kolar,Cholera,30,0,24-06-2024,24-06-2024
Karnataka,Raichur,Acute Diarrheal Disease,13,0,27-06-2024,28-06-2024
Karnataka,Tumakuru,Acute Diarrheal Disease,11,0,24-06-2024,25-06-2024
Karnataka,Udupi,Leptospirosis,19,0,29-06-2024,30-06-2024
Karnataka,Vijayapura,Cholera,47,0,18-06-2024,24-06-2024
Kerala,Ernakulam,Dengue,113,0,23-06-2024,24-06-2024
Kerala,Idukki,Hepatitis A,11,0,22-06-2024,28-06-2024
Kerala,Malappuram,Acute Gastroenteritis,9,0,23-06-2024,24-06-2024
Kerala,Palakkad,Hepatitis A,6,0,23-06-2024,24-06-2024
Kerala,Thiruvananthapuram,Acute Diarrheal Disease,33,0,23-06-2024,25-06-2024
Madhya Pradesh,Narsinghpur,Dengue,23,0,24-06-2024,24-06-2024
Madhya Pradesh,Satna,Acute Diarrheal Disease,68,0,27-06-2024,27-06-2024
Madhya Pradesh,Sehore,Dengue,16,0,24-06-2024,24-06-2024
Maharashtra,Gondia,Acute Diarrheal Disease,6,1,27-06-2024,27-06-2024
Maharashtra,Gondia,Pertussis,9,0,24-06-2024,24-06-2024
Maharashtra,Jalna,Acute Diarrheal Disease,23,0,24-06-2024,26-06-2024
Maharashtra,Kolhapur,Chikungunya,7,0,29-06-2024,29-06-2024
Maharashtra,Kolhapur,Cholera,7,0,28-06-2024,28-06-2024
Maharashtra,Kolhapur,Dengue,1,1,25-06-2024,25-06-2024
Maharashtra,Nanded,Acute Diarrheal Disease,30,0,27-06-2024,27-06-2024
Maharashtra,Pune,Zika Virus,8,0,24-06-2024,27-06-2024
Maharashtra,Pune,Dengue,5,0,19-06-2024,25-06-2024
Maharashtra,Pune,Chikungunya,12,0,19-06-2024,25-06-2024
Maharashtra,Raigad,Dengue,2,1,24-06-2024,25-06-2024
Maharashtra,Sangli,Cholera,50,0,29-06-2024,29-06-2024
Maharashtra,Satara,Dengue,7,0,25-06-2024,28-06-2024
Maharashtra,Washim,Cholera,25,0,23-06-2024,24-06-2024
Maharashtra,Yavatmal,Dengue,40,0,29-06-2024,29-06-2024
Meghalaya,East Khasi Hills,Mushroom Poisoning,5,0,23-06-2024,24-06-2024
Meghalaya,West Khasi Hills,Measles,15,0,26-06-2024,30-06-2024
Nagaland,Dimapur,Animal Bite - Dog Bite,1,1,26-06-2024,27-06-2024
Odisha,Nayagarh,Hepatitis A,8,0,26-05-2024,26-06-2024
Odisha,Nayagarh,Acute Diarrheal Disease,31,0,22-06-2024,24-06-2024
Odisha,Puri,Acute Diarrheal Disease,12,1,25-06-2024,26-06-2024
Odisha,Puri,Fever with Rash,9,0,24-06-2024,24-06-2024
Odisha,Puri,Acute Diarrheal Disease,13,0,23-06-2024,24-06-2024
Odisha,Sonepur,Hepatitis A,10,0,22-06-2024,24-06-2024
Punjab,Ludhiana,Acute Diarrheal Disease,10,0,25-06-2024,28-06-2024
Tamil Nadu,Pudukkottai,Chikungunya,20,0,25-06-2024,26-06-2024
Tamil Nadu,Thiruvarur,Acute Gastroenteritis,37,0,27-06-2024,28-06-2024
Tamil Nadu,Tiruchirappalli,Acute Diarrheal Disease,32,0,25-06-2024,25-06-2024
Tamil Nadu,Tirunelveli,Acute Diarrheal Disease,18,0,23-06-2024,26-06-2024
Tamil Nadu,Tiruvannamalai,Acute Diarrheal Disease,29,0,24-06-2024,24-06-2024
Tamil Nadu,Tiruvannamalai,Acute Diarrheal Disease,104,0,20-06-2024,20-06-2024
Tamil Nadu,Villupuram,Acute Diarrheal Disease,18,0,23-06-2024,23-06-2024
Telangana,Ranga Reddy,Acute Diarrheal Disease,48,0,26-06-2024,26-06-2024
Tripura,Khowai,Acute Diarrheal Disease,66,0,22-06-2024,25-06-2024
Uttar Pradesh,Kannauj,Food Poisoning,21,0,24-06-2024,26-06-2024
Uttarakhand,Rudraprayag,Hepatitis A,11,0,27-06-2024,29-06-2024
West Bengal,Hooghly,Food Poisoning,42,0,25-06-2024,25-06-2024
Andhra Pradesh,Kakinada,Acute Diarrheal Disease,32,0,23-01-2024,
Andhra Pradesh,Sri Sathya Sai,Acute Diarrheal Disease,15,0,22-04-2024,
Maharashtra,Nashik,Dengue,5,1,13-06-2024,
Maharashtra,Pune,Typhoid,14,0,14-06-2024,
Maharashtra,Raigad,Dengue,84,0,16-06-2024,
Meghalaya,Eastern West Khasi Hills,Food Poisoning,99,0,30-05-2024,
Odisha,Bhadrak,Acute Diarrheal Disease,11,0,13-06-2024,
Sikkim,Gangtok,Fever with Rash,5,0,14-06-2024,
Sikkim,Soreng,Typhoid,39,0,29-05-2024,
Uttarakhand,Almora,Acute Diarrheal Disease,10,0,16-06-2024,
Andhra Pradesh,Anantapur,Acute Diarrheal Disease,22,0,26-06-2024,03-07-2024
Andhra Pradesh,Chittoor,Food Poisoning,31,0,04-07-2024,04-07-2024
Andhra Pradesh,Kakinada,Acute Diarrheal Disease,18,0,03-07-2024,05-07-2024
Andhra Pradesh,Nandyal,Acute Diarrheal Disease,42,0,01-07-2024,02-07-2024
Assam,Bajali,Fever,16,0,04-07-2024,04-07-2024
Assam,Jorhat,Human Rabies,1,1,01-07-2024,02-07-2024
Assam,Udalguri,Malaria,24,0,02-07-2024,02-07-2024
Bihar,Bhojpur,Acute Diarrheal Disease,13,0,28-06-2024,03-07-2024
Bihar,Jehanabad,Acute Diarrheal Disease,19,1,07-07-2024,07-07-2024
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,151,0,01-07-2024,01-07-2024
Chhattisgarh,Baloda Bazar,Acute Diarrheal Disease,87,0,30-06-2024,01-07-2024
Chhattisgarh,Bilaspur,Acute Diarrheal Disease,59,0,30-06-2024,01-07-2024
Chhattisgarh,Bilaspur,Acute Diarrheal Disease,21,0,01-07-2024,01-07-2024
Chhattisgarh,Kabirdham,Acute Diarrheal Disease,30,0,03-07-2024,04-07-2024
Chhattisgarh,Mahasamund,Acute Diarrheal Disease,97,0,02-07-2024,02-07-2024
Himachal Pradesh,Kinnaur,Acute Diarrheal Disease,186,0,26-06-2024,01-07-2024
Jammu and Kashmir,Bandipora,Mumps,11,0,01-07-2024,01-07-2024
Jammu and Kashmir,Kupwara,Acute Diarrheal Disease,76,0,05-07-2024,05-07-2024
Jammu and Kashmir,Udhampur,Mumps,13,0,26-06-2024,05-07-2024
Jharkhand,Lohardaga,Food Poisoning,16,0,05-07-2024,06-07-2024
Karnataka,Kalaburagi,Food Poisoning,47,0,02-07-2024,02-07-2024
Karnataka,Kalaburagi,Acute Diarrheal Disease,16,0,30-06-2024,01-07-2024
Karnataka,Mandya,Acute Diarrheal Disease,21,0,03-07-2024,03-07-2024
Karnataka,Raichur,Acute Diarrheal Disease,15,0,01-07-2024,03-07-2024
Karnataka,Raichur,Food Poisoning,32,0,05-07-2024,06-07-2024
Karnataka,Shivamogga,Zika Virus,3,0,04-07-2024,04-07-2024
Karnataka,Udupi,Acute Diarrheal Disease,12,0,30-06-2024,01-07-2024
Kerala,Ernakulam,Dengue,129,0,01-07-2024,05-07-2024
Kerala,Kottayam,Acute Diarrheal Disease,26,0,05-07-2024,05-07-2024
Kerala,Thiruvananthapuram,Acute Diarrheal Disease,82,0,02-07-2024,03-07-2024
Kerala,Wayanad,Mumps,11,0,29-06-2024,06-07-2024
Kerala,Wayanad,Mumps,13,0,26-06-2024,06-07-2024
Madhya Pradesh,Harda,Acute Diarrheal Disease,53,0,02-07-2024,03-07-2024
Madhya Pradesh,Harda,Acute Diarrheal Disease,35,0,01-07-2024,01-07-2024
Madhya Pradesh,Indore,Dengue,69,0,02-07-2024,03-07-2024
Madhya Pradesh,Indore,Cholera,63,0,03-07-2024,03-07-2024
Madhya Pradesh,Indore,Cholera,93,6,02-07-2024,02-07-2024
Madhya Pradesh,Mandla,Acute Diarrheal Disease,14,0,06-07-2024,06-07-2024
Madhya Pradesh,Raisen,Acute Diarrheal Disease,15,0,02-07-2024,03-07-2024
Madhya Pradesh,Rewa,Acute Diarrheal Disease,38,0,07-07-2024,07-07-2024
Madhya Pradesh,Sagar,Cholera,251,3,05-07-2024,05-07-2024
Maharashtra,Akola,Cholera,18,0,03-07-2024,03-07-2024
Maharashtra,Chandrapur,Dengue,24,0,04-07-2024,05-07-2024
Maharashtra,Gadchiroli,Food Poisoning,28,0,04-07-2024,05-07-2024
Maharashtra,Pune,Zika Virus,8,0,25-06-2024,03-07-2024
Maharashtra,Raigad,Dengue,13,0,26-06-2024,02-07-2024
Meghalaya,East Khasi Hills,Measles,72,0,04-07-2024,05-07-2024
Meghalaya,East Khasi Hills,Typhoid,55,0,30-06-2024,03-07-2024
Odisha,Anugul,Acute Diarrheal Disease,29,0,07-07-2024,07-07-2024
Odisha,Balangir,Acute Diarrheal Disease,26,0,02-07-2024,03-07-2024
Punjab,Faridkot,Hepatitis A,21,0,29-06-2024,01-07-2024
Tamil Nadu,Kanchipuram,Acute Diarrheal Disease,40,0,02-07-2024,04-07-2024
Tamil Nadu,Tirunelveli,Hepatitis A,11,0,28-06-2024,01-07-2024
Dadra and Nagar Haveli and Daman and Diu,Daman,Acute Diarrheal Disease,13,0,07-07-2024,07-07-2024
Uttar Pradesh,Banda,Fever with rash,16,0,27-06-2024,01-07-2024
Uttar Pradesh,Prayagraj,Acute Diarrheal Disease,25,0,27-06-2024,03-07-2024
Uttarakhand,Nainital,Acute Diarrheal Disease,50,1,05-07-2024,06-07-2024
Andhra Pradesh,Eluru,Acute Diarrheal Disease,11,2,18-05-2024,
Andhra Pradesh,Guntur,Acute Diarrheal Disease,76,0,16-04-2024,
Andhra Pradesh,SPSR Nellore,Acute Diarrheal Disease,15,0,15-05-2024,
Jharkhand,Simdega,Chickenpox,8,0,20-06-2024,
Kerala,Ernakulam,Hepatitis A,18,0,01-06-2024,
Andhra Pradesh,Chittoor,Acute Diarrheal Disease,19,0,09-07-2024,10-07-2024
Andhra Pradesh,Konaseema,Acute Diarrheal Disease,14,0,07-07-2024,08-07-2024
Andhra Pradesh,Y.S.R.,Acute Diarrheal Disease,19,0,10-07-2024,11-07-2024
Arunachal Pradesh,Tawang,Acute Diarrheal Disease,16,0,09-07-2024,09-07-2024
Assam,Bajali,Japanese Encephalitis,1,1,12-07-2024,12-07-2024
Assam,Bongaigaon,Japanese Encephalitis,1,1,13-07-2024,13-07-2024
Assam,Karimganj,Food Poisoning,6,0,09-07-2024,10-07-2024
Assam,Kokrajhar,Chickenpox,10,0,09-07-2024,11-07-2024
Assam,Nagaon,Japanese Encephalitis,1,1,12-07-2024,12-07-2024
Assam,West Karbi Anglong,Japanese Encephalitis,2,1,05-07-2024,12-07-2024
Bihar,Samastipur,Acute Diarrheal Disease,17,0,12-07-2024,13-07-2024
Chhattisgarh,Bijapur,Measles,11,0,11-07-2024,12-07-2024
Chhattisgarh,Bilaspur,Food Poisoning,48,0,07-07-2024,08-07-2024
Chhattisgarh,Bilaspur,Acute Diarrheal Disease,11,0,08-07-2024,09-07-2024
Chhattisgarh,Janjgir-Champa,Acute Diarrheal Disease,114,1,11-07-2024,11-07-2024
Chhattisgarh,Kabirdham,Acute Diarrheal Disease,58,0,08-07-2024,10-07-2024
Chhattisgarh,Mungeli,Acute Diarrheal Disease,22,0,07-07-2024,08-07-2024
Chhattisgarh,Raipur,Cholera,107,0,08-07-2024,08-07-2024
Gujarat,Ahmadabad,Acute Diarrheal Disease,27,0,10-07-2024,09-07-2024
Gujarat,Arvalli,Acute Encephalitic Syndrome,93,7,09-07-2024,12-07-2024
Gujarat,Chhotaudepur,Acute Diarrheal Disease,123,0,12-07-2024,14-07-2024
Gujarat,Jamnagar,Acute Diarrheal Disease,21,0,11-07-2024,11-07-2024
Gujarat,Morbi,Cholera,5,1,13-07-2024,13-07-2024
Gujarat,Navsari,Acute Diarrheal Disease,18,0,14-07-2024,14-07-2024
Haryana,Kaithal,Cholera,4,0,08-07-2024,11-07-2024
Himachal Pradesh,Mandi,Hepatitis A,360,2,10-07-2024,12-07-2024
Jammu and Kashmir,Anantnag,Food Poisoning,74,0,11-07-2024,12-07-2024
Jammu and Kashmir,Anantnag,Acute Diarrheal Disease,18,0,11-07-2024,11-07-2024
Jammu and Kashmir,Anantnag,Acute Diarrheal Disease,40,0,10-07-2024,11-07-2024
Jammu and Kashmir,Bandipora,Acute Gastroenteritis,19,0,14-07-2024,14-07-2024
Jammu and Kashmir,Baramulla,Hepatitis A/E,22,0,09-07-2024,10-07-2024
Jammu and Kashmir,Doda,Mumps,7,0,05-07-2024,09-07-2024
Jharkhand,Dhanbad,Acute Diarrheal Disease,21,0,10-07-2024,10-07-2024
Jharkhand,West Singhbhum,Acute Diarrheal Disease,6,0,11-07-2024,12-07-2024
Karnataka,Ballari,Cholera,29,0,11-07-2024,14-07-2024
Karnataka,Belagavi,Cholera,49,0,08-07-2024,09-07-2024
Karnataka,Chikballapur,Food Poisoning,18,0,08-07-2024,09-07-2024
Karnataka,Hassan,Dengue,3,3,06-07-2024,09-07-2024
Kerala,Malappuram,Hepatitis A,25,0,12-07-2024,12-07-2024
Kerala,Palakkad,Dengue,69,0,09-07-2024,09-07-2024
Kerala,Thiruvananthapuram,Acute Diarrheal Disease,27,1,08-07-2024,08-07-2024
Kerala,Thrissur,Dengue,72,0,11-07-2024,14-07-2024
Madhya Pradesh,Ashoknagar,Acute Diarrheal Disease,161,0,06-07-2024,08-07-2024
Madhya Pradesh,Balaghat,Acute Diarrheal Disease,63,0,11-07-2024,12-07-2024
Madhya Pradesh,Balaghat,Malaria,5,0,07-07-2024,12-07-2024
Madhya Pradesh,Harda,Dengue,59,0,09-07-2024,12-07-2024
Madhya Pradesh,Narsinghpur,Dengue,24,0,14-07-2024,14-07-2024
Madhya Pradesh,Narsinghpur,Dengue,26,0,11-07-2024,11-07-2024
Madhya Pradesh,Rajgarh,Dengue,7,0,09-07-2024,09-07-2024
Madhya Pradesh,Rewa,Japanese Encephalitis,5,1,09-07-2024,09-07-2024
Madhya Pradesh,Rewa,Japanese Encephalitis,3,1,09-07-2024,09-07-2024
Madhya Pradesh,Rewa,Japanese Encephalitis,10,0,09-07-2024,09-07-2024
Madhya Pradesh,Satna,Acute Diarrheal Disease,33,0,12-07-2024,12-07-2024
Madhya Pradesh,Shahdol,Japanese Encephalitis,5,1,10-07-2024,10-07-2024
